SOD,sat,VTEC,mapping_factor,STEC,I_L1_init_m,fallback_used,initial_iono_sigma
0.0,E04,6.891,1.8921,13.039,2.1172,0,3.0
0.0,E09,7.505,1.4002,10.509,1.7063,0,3.0
0.0,E16,8.107,1.1108,9.005,1.4622,0,3.0
0.0,G01,6.910,1.8446,12.747,2.0698,0,3.0
0.0,G03,8.079,1.1216,9.061,1.4712,0,3.0
0.0,G04,6.918,1.8389,12.722,2.0656,0,3.0
0.0,G08,6.922,2.2749,15.747,2.5568,0,3.0
0.0,G16,8.290,1.0514,8.717,1.4153,0,3.0
0.0,G26,7.461,1.4244,10.628,1.7257,0,3.0
0.0,G27,6.861,1.9978,13.708,2.2258,0,3.0
0.0,G31,6.891,1.8945,13.055,2.1197,0,3.0
30.0,E05,6.840,2.1099,14.432,2.3433,0,3.0
480.0,G02,7.144,2.3076,16.485,2.6767,0,3.0
990.0,G08,7.251,2.0862,15.126,2.4561,0,3.0
1080.0,G02,7.467,2.3920,17.861,2.9001,0,3.0
1080.0,G07,7.580,2.4630,18.670,3.0315,0,3.0
1290.0,G07,7.600,2.4401,18.544,3.0111,0,3.0
1470.0,E25,7.709,1.7873,13.779,2.2373,0,3.0
1800.0,G09,7.810,2.4691,19.285,3.1313,0,3.0
2160.0,G02,8.077,2.5174,20.334,3.3016,0,3.0
2250.0,G08,7.987,1.8436,14.725,2.3909,0,3.0
2370.0,G31,7.823,2.3227,18.171,2.9504,0,3.0
3030.0,E04,8.186,2.0118,16.469,2.6741,0,3.0
3150.0,E04,8.231,2.0193,16.620,2.6986,0,3.0
3270.0,G31,8.222,2.4643,20.262,3.2900,0,3.0
3330.0,G01,8.146,2.2996,18.733,3.0418,0,3.0
4230.0,E18,9.736,2.4572,23.922,3.8843,0,3.0
7650.0,G16,18.556,2.0828,38.648,6.2754,0,3.0
7830.0,G16,18.898,2.1361,40.367,6.5545,0,3.0
7920.0,G16,19.061,2.1629,41.227,6.6942,0,3.0
8100.0,G14,18.856,2.4729,46.628,7.5710,0,3.0
8100.0,G16,19.413,2.2170,43.037,6.9881,0,3.0
8190.0,G16,19.611,2.2440,44.008,7.1458,0,3.0
8250.0,E02,19.258,2.4589,47.353,7.6889,0,3.0
8490.0,G16,20.237,2.3338,47.230,7.6688,0,3.0
8910.0,E02,21.401,2.3297,49.858,8.0955,0,3.0
8970.0,E03,21.264,2.4269,51.607,8.3795,0,3.0
10140.0,G30,24.024,2.5488,61.233,9.9425,0,3.5
10380.0,G03,26.852,2.0044,53.823,8.7393,0,3.1
10530.0,G03,27.126,2.0408,55.360,8.9889,0,3.1
10740.0,G03,27.492,2.0922,57.518,9.3394,0,3.3
10920.0,G03,27.796,2.1365,59.385,9.6425,0,3.4
11010.0,G22,26.464,2.4772,65.556,10.6445,0,3.7
11040.0,G27,29.181,1.9302,56.326,9.1457,0,3.2
11190.0,G03,28.231,2.2029,62.188,10.0977,0,3.5
11340.0,G27,29.772,1.9985,59.501,9.6613,0,3.4
11430.0,G27,29.936,2.0200,60.471,9.8188,0,3.4
11490.0,G22,28.221,2.3795,67.152,10.9037,0,3.8
11850.0,G27,30.603,2.1258,65.057,10.5635,0,3.7
12060.0,G27,30.871,2.1818,67.355,10.9365,0,3.8
12690.0,G27,31.592,2.3582,74.500,12.0967,0,4.2
12750.0,G30,32.947,2.1721,71.565,11.6202,0,4.1
12810.0,G02,33.138,2.1700,71.907,11.6757,0,4.1
12810.0,G27,31.673,2.3923,75.772,12.3033,0,4.3
13110.0,G02,34.227,2.1405,73.263,11.8959,0,4.2
13560.0,G17,35.640,2.1289,75.875,12.3200,0,4.3
13740.0,G01,35.367,2.2362,79.087,12.8415,0,4.5
14100.0,G02,37.805,2.0555,77.708,12.6177,0,4.4
14400.0,G08,41.853,1.6005,66.985,10.8766,0,3.8
14490.0,G08,42.128,1.6178,68.156,11.0667,0,3.9
14580.0,G08,42.401,1.6356,69.352,11.2609,0,3.9
14640.0,G01,39.230,2.1186,83.111,13.4949,0,4.7
14730.0,G08,42.851,1.6663,71.401,11.5935,0,4.1
14820.0,G08,43.117,1.6853,72.664,11.7986,0,4.1
14910.0,G08,43.382,1.7047,73.953,12.0079,0,4.2
15030.0,G02,41.860,1.9979,83.633,13.5797,0,4.8
15030.0,G08,43.731,1.7313,75.711,12.2934,0,4.3
15120.0,G01,41.787,2.0561,85.918,13.9508,0,4.9
15270.0,G08,44.415,1.7869,79.367,12.8870,0,4.5
15360.0,G08,44.666,1.8086,80.785,13.1173,0,4.6
15450.0,G01,43.537,2.0142,87.692,14.2387,0,5.0
15450.0,G08,44.915,1.8308,82.230,13.3519,0,4.7
15690.0,G08,45.520,1.8920,86.125,13.9843,0,4.9
15840.0,G08,45.864,1.9319,88.602,14.3866,0,5.0
15930.0,G08,46.062,1.9563,90.110,14.6314,0,5.1
16080.0,G08,46.375,1.9979,92.653,15.0442,0,5.3
16170.0,G08,46.553,2.0234,94.194,15.2945,0,5.4
16290.0,G08,46.778,2.0579,96.263,15.6305,0,5.5
16290.0,G19,44.703,2.2795,101.902,16.5461,0,5.8
16440.0,G08,47.039,2.1018,98.866,16.0531,0,5.6
16530.0,G08,47.184,2.1285,100.432,16.3074,0,5.7
16710.0,G08,47.447,2.1827,103.560,16.8153,0,5.9
16800.0,G08,47.554,2.2100,105.095,17.0646,0,6.0
16890.0,G08,47.641,2.2375,106.596,17.3083,0,6.1
16980.0,G08,47.714,2.2650,108.072,17.5480,0,6.1
17130.0,G04,50.961,1.9894,101.383,16.4617,0,5.8
17460.0,G02,52.441,1.9824,103.958,16.8798,0,5.9
18720.0,G02,56.288,2.0666,116.323,18.8876,0,6.6
18810.0,G02,56.494,2.0753,117.240,19.0366,0,6.7
18930.0,G02,56.763,2.0875,118.491,19.2396,0,6.7
19140.0,G02,57.219,2.1104,120.753,19.6070,0,6.9
19290.0,G02,57.533,2.1280,122.428,19.8789,0,7.0
19440.0,G02,57.836,2.1466,124.150,20.1586,0,7.1
19560.0,G02,58.071,2.1622,125.562,20.3878,0,7.1
19650.0,G02,58.243,2.1744,126.640,20.5629,0,7.2
19890.0,G02,58.637,2.2085,129.498,21.0269,0,7.4
19920.0,G13,56.491,2.3673,133.730,21.7140,0,7.6
20100.0,G02,58.881,2.2404,131.915,21.4193,0,7.5
20250.0,G02,59.027,2.2642,133.651,21.7012,0,7.6
20430.0,G02,59.167,2.2941,135.732,22.0392,0,7.7
20580.0,G02,59.254,2.3198,137.457,22.3192,0,7.8
20760.0,G06,57.325,2.4667,141.405,22.9602,0,8.0
21780.0,G09,63.350,2.2747,144.099,23.3978,0,8.2
21810.0,E34,63.026,2.2983,144.851,23.5198,0,8.2
21870.0,G09,63.071,2.3003,145.082,23.5573,0,8.2
21960.0,G09,62.779,2.3258,146.011,23.7082,0,8.3
22020.0,G06,65.641,2.1034,138.071,22.4189,0,7.8
22140.0,G09,62.158,2.3760,147.691,23.9810,0,8.4
22290.0,G09,61.601,2.4170,148.891,24.1757,0,8.5
22470.0,G09,60.858,2.4648,150.002,24.3562,0,8.5
23820.0,G01,69.722,1.8996,132.442,21.5050,0,7.5
23910.0,G01,69.742,1.9130,133.417,21.6633,0,7.6
24000.0,G01,69.757,1.9269,134.414,21.8252,0,7.6
24090.0,G01,69.769,1.9412,135.433,21.9906,0,7.7
24180.0,G01,69.776,1.9559,136.473,22.1595,0,7.8
24270.0,G01,69.779,1.9710,137.535,22.3319,0,7.8
24360.0,G01,69.778,1.9865,138.617,22.5076,0,7.9
24450.0,G01,69.772,2.0025,139.720,22.6866,0,7.9
24540.0,G01,69.761,2.0189,140.842,22.8688,0,8.0
24660.0,G01,69.739,2.0414,142.367,23.1165,0,8.1
24750.0,G01,69.717,2.0588,143.532,23.3056,0,8.2
24900.0,G01,69.668,2.0886,145.510,23.6269,0,8.3
24990.0,G01,69.632,2.1071,146.718,23.8229,0,8.3
25080.0,G01,69.589,2.1259,147.939,24.0211,0,8.4
25230.0,G01,69.472,2.1581,149.927,24.3440,0,8.5
25320.0,G01,69.315,2.1779,150.960,24.5118,0,8.6
25500.0,G01,68.817,2.2185,152.672,24.7897,0,8.7
25590.0,G01,68.492,2.2393,153.377,24.9041,0,8.7
25680.0,G01,68.158,2.2604,154.063,25.0156,0,8.8
25770.0,G01,67.811,2.2817,154.727,25.1234,0,8.8
25860.0,G01,67.454,2.3033,155.366,25.2271,0,8.8
26100.0,G01,66.441,2.3617,156.914,25.4785,0,8.9
26220.0,G01,65.901,2.3912,157.584,25.5873,0,9.0
26580.0,G11,67.980,2.2852,155.351,25.2247,0,8.8
26700.0,G11,68.666,2.2469,154.284,25.0514,0,8.8
26850.0,G11,69.484,2.1990,152.793,24.8095,0,8.7
27000.0,G11,69.941,2.1514,150.473,24.4326,0,8.6
27090.0,G11,70.185,2.1231,149.011,24.1952,0,8.5
27180.0,G11,70.420,2.0950,147.532,23.9551,0,8.4
27270.0,G11,70.646,2.0672,146.040,23.7129,0,8.3
27420.0,G11,71.004,2.0215,143.537,23.3064,0,8.2
27750.0,G07,71.709,1.9254,138.072,22.4191,0,7.8
27780.0,G11,71.775,1.9160,137.518,22.3292,0,7.8
28080.0,E30,66.155,2.4091,159.375,25.8782,0,9.1
28200.0,G07,70.863,2.0611,146.055,23.7154,0,8.3
29070.0,E14,70.143,1.1956,83.861,13.6167,0,4.8
29520.0,G24,67.698,2.3878,161.649,26.2474,0,9.2
29550.0,E03,72.408,1.9682,142.513,23.1402,0,8.1
30210.0,E03,72.513,2.0781,150.692,24.4683,0,8.6
30750.0,G21,67.602,2.4662,166.722,27.0710,0,9.5
31140.0,G21,69.735,2.3867,166.438,27.0250,0,9.5
31140.0,G24,74.116,1.9810,146.821,23.8397,0,8.3
31380.0,G21,70.968,2.3350,165.709,26.9066,0,9.4
31380.0,G30,74.864,1.8008,134.818,21.8907,0,7.7
31590.0,G30,75.210,1.8573,139.688,22.6815,0,7.9
31770.0,G21,72.904,2.2476,163.856,26.6057,0,9.3
31920.0,G30,75.134,1.9505,146.553,23.7961,0,8.3
32130.0,G21,74.324,2.1646,160.880,26.1225,0,9.1
33540.0,G13,70.860,2.3765,168.397,27.3430,0,9.6
33810.0,G12,67.254,2.5097,168.786,27.4062,0,9.6
34170.0,G17,74.200,2.1473,159.332,25.8712,0,9.1
34290.0,G05,69.223,2.4331,168.425,27.3476,0,9.6
34380.0,G17,73.966,2.1711,160.584,26.0744,0,9.1
34440.0,G05,70.024,2.3924,167.525,27.2015,0,9.5
34560.0,G05,70.654,2.3591,166.682,27.0645,0,9.5
34980.0,G05,72.772,2.2397,162.986,26.4645,0,9.3
34980.0,G12,73.480,2.2004,161.686,26.2533,0,9.2
35070.0,G05,73.208,2.2138,162.066,26.3151,0,9.2
35070.0,G12,73.702,2.1755,160.342,26.0351,0,9.1
35280.0,G12,74.097,2.1177,156.917,25.4791,0,8.9
35400.0,G12,74.323,2.0849,154.957,25.1608,0,8.8
35400.0,G17,71.822,2.2803,163.779,26.5933,0,9.3
35490.0,G05,74.237,2.0930,155.380,25.2294,0,8.8
35490.0,G12,74.493,2.0604,153.489,24.9223,0,8.7
35580.0,G05,74.419,2.0674,153.854,24.9816,0,8.7
35580.0,G12,74.664,2.0361,152.024,24.6844,0,8.6
35670.0,G05,74.600,2.0420,152.330,24.7343,0,8.7
35730.0,G12,74.947,1.9960,149.594,24.2899,0,8.5
35760.0,G05,74.782,2.0167,150.811,24.4876,0,8.6
35970.0,G05,75.203,1.9586,147.293,23.9163,0,8.4
36060.0,G12,75.550,1.9099,144.290,23.4287,0,8.2
36090.0,G05,75.412,1.9260,145.244,23.5837,0,8.3
36180.0,G05,75.561,1.9019,143.710,23.3345,0,8.2
36180.0,G12,75.735,1.8794,142.337,23.1115,0,8.1
36270.0,G12,75.876,1.8569,140.891,22.8768,0,8.0
36360.0,G05,75.860,1.8546,140.690,22.8442,0,8.0
36540.0,G12,75.817,1.7911,135.795,22.0493,0,7.7
37080.0,G14,73.656,2.0684,152.351,24.7376,0,8.7
37170.0,G14,73.385,2.0904,153.403,24.9084,0,8.7
37230.0,G12,75.690,1.6363,123.851,20.1100,0,7.0
37260.0,G14,73.102,2.1127,154.444,25.0774,0,8.8
37350.0,G06,75.694,1.6035,121.373,19.7077,0,6.9
37350.0,G12,75.689,1.6114,121.966,19.8039,0,6.9
37440.0,G12,75.692,1.5931,120.588,19.5802,0,6.9
37560.0,G06,75.638,1.6447,124.403,20.1997,0,7.1
37680.0,G06,75.597,1.6690,126.171,20.4866,0,7.2
37800.0,G06,75.550,1.6937,127.962,20.7775,0,7.3
37890.0,G06,75.510,1.7126,129.320,20.9981,0,7.3
38010.0,G06,75.450,1.7382,131.150,21.2952,0,7.5
38100.0,G06,75.401,1.7577,132.535,21.5201,0,7.5
38190.0,G06,75.348,1.7775,133.931,21.7467,0,7.6
38310.0,G06,75.270,1.8042,135.805,22.0510,0,7.7
38370.0,E13,64.117,2.4813,159.094,25.8325,0,9.0
38400.0,G06,75.207,1.8246,137.220,22.2807,0,7.8
38490.0,G06,75.139,1.8451,138.642,22.5116,0,7.9
38730.0,G06,74.509,1.9011,141.646,22.9994,0,8.0
38820.0,G06,74.241,1.9224,142.721,23.1739,0,8.1
38910.0,G06,73.964,1.9439,143.781,23.3461,0,8.2
39030.0,G06,73.582,1.9729,145.169,23.5714,0,8.2
39150.0,G06,73.182,2.0021,146.521,23.7910,0,8.3
39240.0,G06,72.872,2.0242,147.510,23.9515,0,8.4
39330.0,G06,72.552,2.0464,148.473,24.1079,0,8.4
39420.0,G06,72.221,2.0688,149.409,24.2599,0,8.5
39570.0,G25,62.164,2.4976,155.258,25.2097,0,8.8
39660.0,G06,71.280,2.1286,151.726,24.6362,0,8.6
39780.0,G06,70.769,2.1586,152.765,24.8048,0,8.7
39780.0,G22,73.044,1.9816,144.745,23.5026,0,8.2
39900.0,G22,72.572,2.0119,146.011,23.7082,0,8.3
39930.0,G06,70.104,2.1962,153.959,24.9987,0,8.7
40140.0,G06,68.716,2.2485,154.506,25.0875,0,8.8
40140.0,G22,71.573,2.0748,148.501,24.1125,0,8.4
40320.0,G22,70.772,2.1238,150.302,24.4049,0,8.5
