SOD,sat,old_I_m,new_I_m,trigger,used_ionex,VTEC,sigma_new_m
84330.0,G31,-2.1906,1.7555,neg(-2.191m),1,6.835,3.000
84360.0,G03,-2.4807,1.4794,neg(-2.481m),1,7.130,3.000
84360.0,G16,-2.2191,1.3018,neg(-2.219m),1,7.428,3.000
84360.0,G26,-2.2292,1.4288,neg(-2.229m),1,7.201,3.000
84360.0,G31,-2.2415,1.7602,neg(-2.242m),1,6.833,3.000
84390.0,G03,-2.3036,1.4762,neg(-2.304m),1,7.135,3.000
84390.0,G16,-2.2339,1.3007,neg(-2.234m),1,7.430,3.000
84390.0,G26,-2.1924,1.4310,neg(-2.192m),1,7.198,3.000
84420.0,G03,-2.1859,1.4731,neg(-2.186m),1,7.140,3.000
84420.0,G16,-2.2660,1.2996,neg(-2.266m),1,7.431,3.000
84420.0,G26,-2.0994,1.4332,neg(-2.099m),1,7.195,3.000
84450.0,G03,-2.3253,1.4701,neg(-2.325m),1,7.144,3.000
84450.0,G16,-2.2686,1.2985,neg(-2.269m),1,7.432,3.000
84450.0,G26,-2.0969,1.4355,neg(-2.097m),1,7.192,3.000
84450.0,G31,-2.0036,1.7743,neg(-2.004m),1,6.827,3.000
84480.0,G03,-2.4327,1.4670,neg(-2.433m),1,7.149,3.000
84480.0,G16,-2.0754,1.2974,neg(-2.075m),1,7.433,3.000
84480.0,G26,-2.2209,1.4378,neg(-2.221m),1,7.189,3.000
84480.0,G31,-2.0935,1.7790,neg(-2.094m),1,6.825,3.000
84510.0,G03,-2.4494,1.4640,neg(-2.449m),1,7.153,3.000
84510.0,G16,-2.1988,1.2963,neg(-2.199m),1,7.434,3.000
84510.0,G26,-2.2616,1.4401,neg(-2.262m),1,7.186,3.000
84510.0,G31,-2.0911,1.7838,neg(-2.091m),1,6.823,3.000
84540.0,G03,-2.3095,1.4610,neg(-2.309m),1,7.158,3.000
84540.0,G16,-2.2856,1.2953,neg(-2.286m),1,7.435,3.000
84540.0,G26,-2.4136,1.4425,neg(-2.414m),1,7.183,3.000
84570.0,G03,-2.2542,1.4580,neg(-2.254m),1,7.162,3.000
84570.0,G16,-2.2081,1.2942,neg(-2.208m),1,7.436,3.000
84570.0,G26,-2.1868,1.4449,neg(-2.187m),1,7.180,3.000
84600.0,G03,-2.2480,1.4550,neg(-2.248m),1,7.166,3.000
84600.0,G16,-2.2016,1.2932,neg(-2.202m),1,7.437,3.000
84600.0,G26,-2.1348,1.4473,neg(-2.135m),1,7.177,3.000
84600.0,G31,-2.0737,1.7980,neg(-2.074m),1,6.817,3.000
84630.0,G03,-2.3178,1.4520,neg(-2.318m),1,7.171,3.000
84630.0,G16,-2.1137,1.2922,neg(-2.114m),1,7.437,3.000
84630.0,G26,-2.3108,1.4498,neg(-2.311m),1,7.174,3.000
84630.0,G31,-2.4259,1.8028,neg(-2.426m),1,6.815,3.000
84660.0,G03,-2.4328,1.4491,neg(-2.433m),1,7.175,3.000
84660.0,G16,-2.1077,1.2911,neg(-2.108m),1,7.438,3.000
84660.0,G26,-2.2951,1.4523,neg(-2.295m),1,7.170,3.000
84660.0,G31,-2.3858,1.8076,neg(-2.386m),1,6.812,3.000
84690.0,G03,-2.3662,1.4462,neg(-2.366m),1,7.179,3.000
84690.0,G16,-2.0912,1.2902,neg(-2.091m),1,7.438,3.000
84690.0,G26,-2.3239,1.4548,neg(-2.324m),1,7.167,3.000
84690.0,G31,-2.4595,1.8123,neg(-2.460m),1,6.810,3.000
84720.0,G03,-2.2822,1.4433,neg(-2.282m),1,7.183,3.000
84720.0,G16,-2.2807,1.2892,neg(-2.281m),1,7.439,3.000
84720.0,G26,-2.2924,1.4574,neg(-2.292m),1,7.164,3.000
84720.0,G31,-2.4393,1.8171,neg(-2.439m),1,6.808,3.000
84750.0,G03,-2.3140,1.4404,neg(-2.314m),1,7.187,3.000
84750.0,G16,-2.2435,1.2882,neg(-2.243m),1,7.439,3.000
84750.0,G26,-2.3290,1.4600,neg(-2.329m),1,7.161,3.000
84750.0,G31,-2.5463,1.8219,neg(-2.546m),1,6.806,3.000
84780.0,G03,-2.2944,1.4376,neg(-2.294m),1,7.190,3.000
84780.0,G16,-2.2568,1.2873,neg(-2.257m),1,7.440,3.000
84780.0,G26,-2.2008,1.4626,neg(-2.201m),1,7.158,3.000
84780.0,G31,-2.3218,1.8268,neg(-2.322m),1,6.803,3.000
84810.0,G03,-2.1626,1.4348,neg(-2.163m),1,7.194,3.000
84810.0,G16,-2.1855,1.2864,neg(-2.186m),1,7.440,3.000
84810.0,G26,-2.1803,1.4653,neg(-2.180m),1,7.155,3.000
84810.0,G31,-2.1456,1.8316,neg(-2.146m),1,6.801,3.000
84840.0,G03,-2.4488,1.4320,neg(-2.449m),1,7.198,3.000
84840.0,G16,-2.3370,1.2854,neg(-2.337m),1,7.440,3.000
84840.0,G26,-2.2148,1.4680,neg(-2.215m),1,7.152,3.000
84870.0,G03,-2.6055,1.4292,neg(-2.606m),1,7.202,3.000
84870.0,G16,-2.2066,1.2845,neg(-2.207m),1,7.440,3.000
84870.0,G26,-2.3049,1.4707,neg(-2.305m),1,7.149,3.000
84870.0,G31,-2.0421,1.8412,neg(-2.042m),1,6.796,3.000
84900.0,G03,-2.5668,1.4264,neg(-2.567m),1,7.205,3.000
84900.0,G16,-2.2060,1.2837,neg(-2.206m),1,7.440,3.000
84900.0,G26,-2.2891,1.4735,neg(-2.289m),1,7.146,3.000
84900.0,G31,-2.1914,1.8461,neg(-2.191m),1,6.794,3.000
84930.0,G03,-2.3983,1.4237,neg(-2.398m),1,7.209,3.000
84930.0,G16,-2.1870,1.2828,neg(-2.187m),1,7.441,3.000
84930.0,G26,-2.1558,1.4763,neg(-2.156m),1,7.143,3.000
84930.0,G31,-2.2823,1.8509,neg(-2.282m),1,6.791,3.000
84960.0,G03,-2.3612,1.4210,neg(-2.361m),1,7.212,3.000
84960.0,G16,-2.0451,1.2819,neg(-2.045m),1,7.440,3.000
84960.0,G26,-2.2075,1.4792,neg(-2.207m),1,7.140,3.000
84960.0,G31,-2.1905,1.8558,neg(-2.191m),1,6.789,3.000
84990.0,G03,-2.4510,1.4183,neg(-2.451m),1,7.216,3.000
84990.0,G16,-2.1943,1.2811,neg(-2.194m),1,7.440,3.000
84990.0,G26,-2.2947,1.4821,neg(-2.295m),1,7.137,3.000
84990.0,G31,-2.1386,1.8606,neg(-2.139m),1,6.786,3.000
85020.0,G03,-2.4203,1.4156,neg(-2.420m),1,7.219,3.000
85020.0,G16,-2.3608,1.2803,neg(-2.361m),1,7.440,3.000
85020.0,G26,-2.4518,1.4850,neg(-2.452m),1,7.134,3.000
85020.0,G31,-2.3132,1.8655,neg(-2.313m),1,6.784,3.000
85050.0,G03,-2.4265,1.4129,neg(-2.426m),1,7.223,3.000
85050.0,G16,-2.2545,1.2795,neg(-2.255m),1,7.440,3.000
85050.0,G26,-2.2568,1.4880,neg(-2.257m),1,7.131,3.000
85050.0,G31,-2.3198,1.8703,neg(-2.320m),1,6.781,3.000
85080.0,G03,-2.2786,1.4103,neg(-2.279m),1,7.226,3.000
85080.0,G16,-2.1163,1.2787,neg(-2.116m),1,7.440,3.000
85080.0,G26,-2.0964,1.4910,neg(-2.096m),1,7.128,3.000
85080.0,G31,-2.3363,1.8752,neg(-2.336m),1,6.779,3.000
85110.0,G03,-2.5177,1.4077,neg(-2.518m),1,7.229,3.000
85110.0,G16,-2.2014,1.2779,neg(-2.201m),1,7.439,3.000
85110.0,G26,-2.2801,1.4940,neg(-2.280m),1,7.125,3.000
85110.0,G31,-2.2095,1.8801,neg(-2.210m),1,6.776,3.000
85140.0,G03,-2.5155,1.4051,neg(-2.515m),1,7.232,3.000
85140.0,G16,-2.3163,1.2772,neg(-2.316m),1,7.439,3.000
85140.0,G26,-2.3146,1.4971,neg(-2.315m),1,7.122,3.000
85140.0,G31,-2.2390,1.8850,neg(-2.239m),1,6.774,3.000
85170.0,G03,-2.5126,1.4026,neg(-2.513m),1,7.235,3.000
85170.0,G16,-2.3046,1.2764,neg(-2.305m),1,7.438,3.000
85170.0,G26,-2.1644,1.5002,neg(-2.164m),1,7.119,3.000
85170.0,G31,-2.1278,1.8899,neg(-2.128m),1,6.771,3.000
85200.0,G03,-2.4963,1.4000,neg(-2.496m),1,7.238,3.000
85200.0,G16,-2.2576,1.2757,neg(-2.258m),1,7.438,3.000
85200.0,G26,-2.1605,1.5034,neg(-2.161m),1,7.116,3.000
85200.0,G31,-2.2945,1.8948,neg(-2.294m),1,6.768,3.000
85230.0,G03,-2.4634,1.3975,neg(-2.463m),1,7.241,3.000
85230.0,G16,-2.1903,1.2750,neg(-2.190m),1,7.437,3.000
85230.0,G26,-2.2229,1.5066,neg(-2.223m),1,7.113,3.000
85230.0,G27,-2.2501,2.2757,neg(-2.250m),1,6.566,3.000
85230.0,G31,-2.2735,1.8996,neg(-2.274m),1,6.766,3.000
85260.0,G03,-2.5078,1.3950,neg(-2.508m),1,7.244,3.000
85260.0,G16,-2.2308,1.2743,neg(-2.231m),1,7.437,3.000
85260.0,G26,-2.2896,1.5098,neg(-2.290m),1,7.110,3.000
85260.0,G31,-2.3196,1.9045,neg(-2.320m),1,6.763,3.000
85290.0,G03,-2.4304,1.3925,neg(-2.430m),1,7.247,3.000
85290.0,G16,-2.1949,1.2737,neg(-2.195m),1,7.436,3.000
85290.0,G26,-2.4218,1.5131,neg(-2.422m),1,7.108,3.000
85290.0,G31,-2.3547,1.9094,neg(-2.355m),1,6.760,3.000
85320.0,G03,-2.4475,1.3901,neg(-2.447m),1,7.250,3.000
85320.0,G16,-2.1926,1.2730,neg(-2.193m),1,7.435,3.000
85320.0,G26,-2.4351,1.5164,neg(-2.435m),1,7.105,3.000
85320.0,G31,-2.1777,1.9143,neg(-2.178m),1,6.757,3.000
85350.0,G03,-2.4562,1.3876,neg(-2.456m),1,7.253,3.000
85350.0,G16,-2.2841,1.2724,neg(-2.284m),1,7.434,3.000
85350.0,G26,-2.4322,1.5198,neg(-2.432m),1,7.102,3.000
85350.0,G31,-2.2951,1.9192,neg(-2.295m),1,6.755,3.000
85380.0,G03,-2.4714,1.3852,neg(-2.471m),1,7.255,3.000
85380.0,G16,-2.3159,1.2718,neg(-2.316m),1,7.433,3.000
85380.0,G26,-2.1868,1.5232,neg(-2.187m),1,7.099,3.000
85380.0,G31,-2.1623,1.9241,neg(-2.162m),1,6.752,3.000
85410.0,G03,-2.4924,1.3828,neg(-2.492m),1,7.258,3.000
85410.0,G16,-2.1702,1.2712,neg(-2.170m),1,7.432,3.000
85410.0,G26,-2.1393,1.5266,neg(-2.139m),1,7.096,3.000
85410.0,G31,-2.1116,1.9290,neg(-2.112m),1,6.749,3.000
85440.0,G03,-2.6944,1.3805,neg(-2.694m),1,7.261,3.000
85440.0,G16,-2.1527,1.2706,neg(-2.153m),1,7.431,3.000
85440.0,G26,-2.2404,1.5301,neg(-2.240m),1,7.093,3.000
85440.0,G31,-2.1642,1.9340,neg(-2.164m),1,6.746,3.000
85470.0,G03,-2.6475,1.3781,neg(-2.648m),1,7.263,3.000
85470.0,G16,-2.2230,1.2700,neg(-2.223m),1,7.430,3.000
85470.0,G26,-2.3237,1.5336,neg(-2.324m),1,7.090,3.000
85470.0,G31,-2.1859,1.9389,neg(-2.186m),1,6.743,3.000
85500.0,G03,-2.6776,1.3758,neg(-2.678m),1,7.266,3.000
85500.0,G16,-2.2026,1.2695,neg(-2.203m),1,7.429,3.000
85500.0,G26,-2.3321,1.5371,neg(-2.332m),1,7.087,3.000
85500.0,G31,-2.2133,1.9438,neg(-2.213m),1,6.740,3.000
85530.0,G03,-2.4668,1.3735,neg(-2.467m),1,7.268,3.000
85530.0,G16,-2.1628,1.2689,neg(-2.163m),1,7.428,3.000
85530.0,G26,-2.2577,1.5407,neg(-2.258m),1,7.085,3.000
85530.0,G31,-2.1934,1.9487,neg(-2.193m),1,6.737,3.000
85560.0,G03,-2.4762,1.3712,neg(-2.476m),1,7.271,3.000
85560.0,G16,-2.3156,1.2684,neg(-2.316m),1,7.427,3.000
85560.0,G26,-2.2266,1.5444,neg(-2.227m),1,7.082,3.000
85560.0,G31,-2.1309,1.9536,neg(-2.131m),1,6.734,3.000
85590.0,G03,-2.4834,1.3690,neg(-2.483m),1,7.273,3.000
85590.0,G16,-2.2561,1.2679,neg(-2.256m),1,7.425,3.000
85590.0,G26,-2.2818,1.5481,neg(-2.282m),1,7.079,3.000
85590.0,G31,-2.2735,1.9585,neg(-2.274m),1,6.731,3.000
85620.0,G03,-2.3809,1.3668,neg(-2.381m),1,7.275,3.000
85620.0,G16,-2.4175,1.2674,neg(-2.418m),1,7.424,3.000
85620.0,G26,-2.3470,1.5518,neg(-2.347m),1,7.076,3.000
85620.0,G31,-2.3941,1.9634,neg(-2.394m),1,6.728,3.000
85650.0,G03,-2.4499,1.3646,neg(-2.450m),1,7.278,3.000
85650.0,G16,-2.3292,1.2670,neg(-2.329m),1,7.423,3.000
85650.0,G26,-2.2349,1.5555,neg(-2.235m),1,7.074,3.000
85650.0,G31,-2.2642,1.9683,neg(-2.264m),1,6.725,3.000
85680.0,G03,-2.3871,1.3624,neg(-2.387m),1,7.280,3.000
85680.0,G16,-2.2120,1.2665,neg(-2.212m),1,7.421,3.000
85680.0,G26,-2.2679,1.5594,neg(-2.268m),1,7.071,3.000
85680.0,G31,-2.2042,1.9732,neg(-2.204m),1,6.722,3.000
85710.0,G03,-2.5137,1.3602,neg(-2.514m),1,7.282,3.000
85710.0,G16,-2.1729,1.2661,neg(-2.173m),1,7.420,3.000
85710.0,G26,-2.3183,1.5632,neg(-2.318m),1,7.068,3.000
85710.0,G31,-2.2995,1.9781,neg(-2.299m),1,6.719,3.000
85740.0,G03,-2.4729,1.3581,neg(-2.473m),1,7.284,3.000
85740.0,G16,-2.3369,1.2657,neg(-2.337m),1,7.418,3.000
85740.0,G26,-2.5165,1.5671,neg(-2.516m),1,7.065,3.000
85740.0,G31,-2.4665,1.9830,neg(-2.467m),1,6.716,3.000
85770.0,G03,-2.3925,1.3559,neg(-2.393m),1,7.286,3.000
85770.0,G16,-2.2554,1.2653,neg(-2.255m),1,7.417,3.000
85770.0,G26,-2.5810,1.5710,neg(-2.581m),1,7.063,3.000
85770.0,G31,-2.2337,1.9879,neg(-2.234m),1,6.713,3.000
85800.0,G03,-2.4572,1.3538,neg(-2.457m),1,7.288,3.000
85800.0,G16,-2.1277,1.2650,neg(-2.128m),1,7.415,3.000
85800.0,G26,-2.2730,1.5750,neg(-2.273m),1,7.060,3.000
85800.0,G31,-2.0889,1.9928,neg(-2.089m),1,6.710,3.000
85830.0,G03,-2.5212,1.3518,neg(-2.521m),1,7.290,3.000
85830.0,G16,-2.1931,1.2646,neg(-2.193m),1,7.414,3.000
85830.0,G26,-2.2946,1.5791,neg(-2.295m),1,7.057,3.000
85830.0,G31,-2.2879,1.9977,neg(-2.288m),1,6.706,3.000
85860.0,G03,-2.4100,1.3497,neg(-2.410m),1,7.292,3.000
85860.0,G16,-2.2207,1.2643,neg(-2.221m),1,7.412,3.000
85860.0,G26,-2.2503,1.5831,neg(-2.250m),1,7.055,3.000
85860.0,G31,-2.2944,2.0026,neg(-2.294m),1,6.703,3.000
85890.0,G03,-2.2066,1.3477,neg(-2.207m),1,7.294,3.000
85890.0,G16,-2.2699,1.2640,neg(-2.270m),1,7.410,3.000
85890.0,G26,-2.2734,1.5872,neg(-2.273m),1,7.052,3.000
85890.0,G31,-2.2767,2.0075,neg(-2.277m),1,6.700,3.000
85920.0,G03,-2.4692,1.3457,neg(-2.469m),1,7.295,3.000
85920.0,G16,-2.1647,1.2638,neg(-2.165m),1,7.408,3.000
85920.0,G26,-2.1385,1.5914,neg(-2.138m),1,7.049,3.000
85920.0,G31,-2.1274,2.0124,neg(-2.127m),1,6.697,3.000
85950.0,G03,-2.6358,1.3437,neg(-2.636m),1,7.297,3.000
85950.0,G16,-2.2259,1.2635,neg(-2.226m),1,7.407,3.000
85950.0,G26,-2.2250,1.5956,neg(-2.225m),1,7.047,3.000
85950.0,G31,-2.1542,2.0179,neg(-2.154m),1,6.695,3.000
85980.0,G03,-2.5600,1.3417,neg(-2.560m),1,7.299,3.000
85980.0,G16,-2.3176,1.2633,neg(-2.318m),1,7.405,3.000
85980.0,G26,-2.2313,1.5999,neg(-2.231m),1,7.044,3.000
85980.0,G31,-2.2125,2.0234,neg(-2.213m),1,6.694,3.000
86010.0,G03,-2.6296,1.3398,neg(-2.630m),1,7.301,3.000
86010.0,G16,-2.2416,1.2630,neg(-2.242m),1,7.403,3.000
86010.0,G26,-2.2597,1.6042,neg(-2.260m),1,7.042,3.000
86010.0,G31,-2.3725,2.0289,neg(-2.372m),1,6.693,3.000
86040.0,G03,-2.6101,1.3378,neg(-2.610m),1,7.302,3.000
86040.0,G16,-2.0331,1.2628,neg(-2.033m),1,7.401,3.000
86040.0,G26,-2.3905,1.6085,neg(-2.390m),1,7.039,3.000
86040.0,G31,-2.0855,2.0345,neg(-2.085m),1,6.692,3.000
86070.0,G03,-2.6080,1.3359,neg(-2.608m),1,7.304,3.000
86070.0,G16,-2.2808,1.2627,neg(-2.281m),1,7.399,3.000
86070.0,G26,-2.4018,1.6129,neg(-2.402m),1,7.037,3.000
86070.0,G31,-2.0681,2.0400,neg(-2.068m),1,6.690,3.000
86100.0,G03,-2.6288,1.3341,neg(-2.629m),1,7.305,3.000
86100.0,G16,-2.2805,1.2625,neg(-2.281m),1,7.397,3.000
86100.0,G26,-2.4499,1.6173,neg(-2.450m),1,7.034,3.000
86130.0,G03,-2.5544,1.3322,neg(-2.554m),1,7.307,3.000
86130.0,G16,-2.3143,1.2624,neg(-2.314m),1,7.395,3.000
86130.0,G26,-2.5064,1.6218,neg(-2.506m),1,7.032,3.000
86160.0,G03,-2.3946,1.3304,neg(-2.395m),1,7.308,3.000
86160.0,G16,-2.3456,1.2623,neg(-2.346m),1,7.393,3.000
86160.0,G26,-2.4755,1.6263,neg(-2.475m),1,7.029,3.000
86160.0,G31,-2.0421,2.0565,neg(-2.042m),1,6.686,3.000
86190.0,G03,-2.5457,1.3286,neg(-2.546m),1,7.310,3.000
86190.0,G16,-2.3251,1.2622,neg(-2.325m),1,7.391,3.000
86190.0,G26,-2.2772,1.6309,neg(-2.277m),1,7.027,3.000
86190.0,G31,-2.1330,2.0620,neg(-2.133m),1,6.685,3.000
86220.0,G03,-2.5235,1.3268,neg(-2.524m),1,7.311,3.000
86220.0,G16,-2.3132,1.2621,neg(-2.313m),1,7.389,3.000
86220.0,G26,-2.1430,1.6355,neg(-2.143m),1,7.024,3.000
86220.0,G31,-2.2189,2.0675,neg(-2.219m),1,6.684,3.000
86250.0,G03,-2.6243,1.3250,neg(-2.624m),1,7.312,3.000
86250.0,G16,-2.2499,1.2621,neg(-2.250m),1,7.387,3.000
86250.0,G26,-2.2095,1.6402,neg(-2.209m),1,7.022,3.000
86250.0,G31,-2.2660,2.0730,neg(-2.266m),1,6.682,3.000
86280.0,G03,-2.7329,1.3233,neg(-2.733m),1,7.313,3.000
86280.0,G16,-2.1734,1.2621,neg(-2.173m),1,7.385,3.000
86280.0,G26,-2.3802,1.6449,neg(-2.380m),1,7.020,3.000
86280.0,G31,-2.1568,2.0786,neg(-2.157m),1,6.681,3.000
86310.0,G03,-2.6139,1.3215,neg(-2.614m),1,7.315,3.000
86310.0,G16,-2.2018,1.2621,neg(-2.202m),1,7.383,3.000
86310.0,G26,-2.4427,1.6497,neg(-2.443m),1,7.017,3.000
86310.0,G31,-2.0115,2.0841,neg(-2.012m),1,6.679,3.000
86340.0,G03,-2.5880,1.3198,neg(-2.588m),1,7.316,3.000
86340.0,G16,-2.3608,1.2621,neg(-2.361m),1,7.381,3.000
86340.0,G26,-2.3436,1.6545,neg(-2.344m),1,7.015,3.000
86340.0,G31,-2.1017,2.0896,neg(-2.102m),1,6.678,3.000
86370.0,G03,-2.6037,1.3181,neg(-2.604m),1,7.317,3.000
86370.0,G16,-2.2212,1.2622,neg(-2.221m),1,7.379,3.000
86370.0,G26,-2.2603,1.6594,neg(-2.260m),1,7.013,3.000
86370.0,G31,-2.2423,2.0950,neg(-2.242m),1,6.676,3.000
